Post;Comentários;Curtidas;Link;Plataforma;QTD_Comentários;QTD_Compartilhamentos;Imagem;Data;Prefeitura;PagFacebook
Beleza corporal e encanto estético. Foi isso que a 4ª Mostra de Dança Contemporânea de Pedras de Fogo levou à população. Com performances marcantes, os estudantes do Núcleo Cultural deram um show na apresentação do dia 29, na Praça da Conceição. Confira como o evento foi lindo e impactante!Hoje (31) haverá mais uma apresentação, desta vez no Parque Linear, a partir das 19h. Não perca!💙 Aqui a Cultura é viva e forte. Governo de Pedras de Fogo: A Reconstrução Continua!;['Foi lindo demais! Gratidão ❤️', '👏👏👏👏', '😍😍😍', '👏👏👏👏', '👏👏👏👏👏👏', '👏👏👏👏👏👏', '👏👏👏👏', '👏👏👏👏👏', '👏👏👏', '👏👏👏', '🥰🥰🥰👏👏', '👏👏👏', '👏👏👏👏👏', '👏👏👏👏👏👏', 'Foi maravilhoso parabéns a cultura de Pedras de fogo... parabéns @nykaferve 👏👏👏👏👏🏻👏🏻👏👏👏👏👏👏👏👏👏👏👏👏👏 parabéns a todos quê fazem parte 👏👏👏👏👏👏👏👏👏👏👏👏👏👏'];318;https://www.instagram.com/p/DByqgkeuXba/;Instagram;15;0;Video;31/10/2024;;
📚 Todo mundo sabe que o futuro da educação passa pelo ensino em tempo integral. Aqui em Pedras de Fogo, estamos antenados com esta forma inovadora de educar, por isso estamos construindo uma escola neste modelo no bairro Santa Emília. As obras do espaço onde mais de 200 alunos serão acolhidos estão avançadas.💙 Uma estrutura que vai possibilitar o desenvolvimento da aprendizagem plena aos filhos do município é sinal de que a reconstrução continua.;['👏👏👏👏👏', '👏👏👏👏', '👏👏👏👏', '👏👏👏👏👏👏', '👏👏👏👏👏'];992;https://www.instagram.com/p/DBwNW9rJCav/;Instagram;5;0;Video;30/10/2024;;
Vem aí o Enem 2024!📢 Atenção, estudantes! Para garantir que você chegue ao seu local de prova com tranquilidade e no horário certo, estamos disponibilizando transporte escolar gratuito.🚍 Horários e locais de saída:•	Às 10h, os ônibus partirão das localidades rurais com destino às principais escolas onde serão aplicadas as provas.•	Para quem fará o exame em Ibiranga, o transporte sairá às 11h, em frente à Prefeitura Municipal.🤝 Contem com a nossa torcida! Estamos juntos nessa caminhada rumo ao sucesso. Boa prova a todos!;['👏🏻👏🏻👏🏻👏🏻👏🏻', '👏👏', '👏', '👏👏👏👏', '👏👏👏👏👏', '👏🏻👏🏻👏🏻👏🏻', '🙌👏👏👏', '👏👏👏👏', '👏', '👏👏👏👏👏', '👏👏👏👏👏👏', '👏👏', '👏👏👏👏👏👏', '👏👏👏👏👏', '👏👏👏👏👏'];422;https://www.instagram.com/p/DBtpLRVJHFy/;Instagram;15;0;https://instagram.fjpa1-1.fna.fbcdn.net/v/t51.2885-15/464544019_18041055593162405_636014633172949068_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE3ODcuc2RyLmY3NTc2MS5kZWZhdWx0X2ltYWdlIn0&_nc_ht=instagram.fjpa1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=L6NBhCctriUQ7kNvgHpb3oa&_nc_gid=aa87a00b86dc447b918dbe7047d5180a&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzQ4OTYyNjM4MDcxMTUyMjY3NA%3D%3D.3-ccb7-5&oh=00_AYD5K_d3qbumMb_jO4rDIQnSBlzfqNUA_4Ew1zHD5KsBiQ&oe=673674D3&_nc_sid=22de04;29/10/2024;;
💵 Final do mês com salário na conta!Pagar em dia é honrar o compromisso com o servidor e fortalecer a economia local. 💙 A reconstrução continua!;['Gestão que respeita os servidores. A reconstrução continua!! 👏🏻👏🏻', 'Prefeito comprometido com os servidores e com a economia local. 👏👏👏', 'Sempre acreditei em vc prefeito ao contrário de muitas pessoas que só fazia te criticar...Más como Deus sempre esteve ao teu lado é hoje vc tem feito coisas quê até pessoas ficaram calados🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌👏👏👏👏👏👏👏👏👏👏👏🔥🔥🔥🔥🔥🔥🔥🔥🔥🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌A chama continua acesa 🙌'];534;https://www.instagram.com/p/DBtUf5ZprUw/?img_index=1;Instagram;3;0;https://instagram.fjpa1-1.fna.fbcdn.net/v/t51.2885-15/464667165_18041038895162405_5795650983284268465_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEzNDYuc2RyLmY3NTc2MS5kZWZhdWx0X2ltYWdlIn0&_nc_ht=instagram.fjpa1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=-o7IXfEAzGYQ7kNvgF9Jqa2&_nc_gid=aa87a00b86dc447b918dbe7047d5180a&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzQ4OTUzNTQzMzM3ODM0MjE2Mw%3D%3D.3-ccb7-5&oh=00_AYDdoiG_S5ZucZP-DIsw74nQNUDOdfiDHW2xtEG8G2aNvg&oe=67365446&_nc_sid=22de04;29/10/2024;;
💰 É amanhã!!Honrando o compromisso, iniciaremos nesta terça-feira (29) o pagamento dos aposentados e pensionistas do município, por meio do nosso Instituto de Previdência.#SalárioNaConta #AReconstruçãoContinua #IPAM;['👏👏', 'Oxe, ainda!!!!! Pensei que teria antecipado!!!!!!!', '👏👏👏👏👏', '👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻', '👏👏', '👏👏👏👏', '👏👏👏', '👏👏👏👏👏', '👏👏👏👏', '👏👏', '👏👏👏', '👏👏👏👏👏', '👏🏻👏🏻👏🏻', '👏🏻👏🏻👏🏻', '👏👏👏👏👏'];307;https://www.instagram.com/p/DBrsvlOyWXY/;Instagram;15;0;https://instagram.fjpa1-1.fna.fbcdn.net/v/t51.2885-15/464924551_18040980098162405_1558660633630438131_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE3OTEuc2RyLmY3NTc2MS5kZWZhdWx0X2ltYWdlIn0&_nc_ht=instagram.fjpa1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=G_uM0JMShYYQ7kNvgHX10-W&_nc_gid=aa87a00b86dc447b918dbe7047d5180a&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzQ4OTA3OTEyMDE2NzAwMzYwOA%3D%3D.3-ccb7-5&oh=00_AYBoxIIhYRnBsLB-l__FhE5WVEacuHpHvWQJWgPEPVmyIw&oe=67366654&_nc_sid=22de04;28/10/2024;;
💃🏿 A Secretaria Executiva de Cultura, através do Núcleo Cultural, apresenta a 4ª Mostra de Dança Contemporânea, sob a direção da professora Nyka Barros.O evento acontecerá nos dias 29 (na Praça da Conceição) e no dia 30 deste mês (Parque Linear).Vamos todos celebrar esse momento de movimentos e arte!💙 Governo de Pedras de Fogo, a reconstrução continua!;['👏🏻👏🏻👏🏻👏🏻', '👏👏👏👏👏👏👏', '👏👏👏👏', 'Vamos prestigiar o talento dos nossos jovens e brilhantes talentos ❤️✨', '😍😍❤️', 'Vamos! Muita alegria e dedicação das turmas ❤️', '👏👏👏👏👏👏👏👏❤️❤️', '👏👏👏👏👏👏'];159;https://www.instagram.com/p/DBrHR-2Jpvb/;Instagram;8;0;https://instagram.fjpa1-1.fna.fbcdn.net/v/t51.2885-15/464270093_18040953566162405_3237925388191439935_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMjkweDEyNzcuc2RyLmY3NTc2MS5kZWZhdWx0X2ltYWdlIn0&_nc_ht=instagram.fjpa1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=PXjJWljR07sQ7kNvgFoJSG6&_nc_gid=aa87a00b86dc447b918dbe7047d5180a&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzQ4ODkxNDM1ODM2NTc1NjM3OQ%3D%3D.3-ccb7-5&oh=00_AYDntTdP55KekJO4avlgnWqL4gcDBfgXEa6wiZ8MAwilIA&oe=673667BC&_nc_sid=22de04;28/10/2024;;
💙 Hoje, no Dia do Servidor Público, agradecemos a cada um de vocês que, com dedicação e muito trabalho, transforma Pedras de Fogo em uma cidade mais justa e acolhedora. Vocês são a força que impulsiona o progresso e o bem-estar. O empenho de cada um de vocês faz toda a diferença!Obrigado, servidores públicos, por serem a base da nossa cidade e por manterem vivo o espírito de serviço e cidadania. Parabéns!!;['Os servidores sendo bem representados por nossa querida, Gilva ❤️', 'Grande profissional e um exemplo de servidora pública!!', 'Maravilhosa!!!!❤️', 'Sempre muito atenciosa, prestativa e uma excelente profissional. Parabéns Gilva!', '👏👏👏', 'Maravilhosa😍Funcionária exemplar , competente , humana , responsável e muito querida pelo povo de Pedras de Fogo . Que DEUS te abençoe Gilva 🙌', 'Parabéns Gilva, você foi a pessoa certa para representar o servidor público de  Pedras de Fogo 👏👏👏❤️😍', '👏👏👏', 'Gilva! Um exemplo de educação, amabilidade, gentileza, solidariedade ao próximo e profissionalismo.', 'Vc e maravilhosa', 'Parabéns a todos vocês são Grandes Profissionais', 'Exemplo de profissional 👏🏻👏🏻👏🏻', 'Um ser humano lindooo 👏👏👏', 'A senhora @gilva_rosendo me representa na condição de servidor público. Parabéns para todos os servidores públicos!', 'Uma servidora maravilhosa, educada, atenciosa e muita prestativa com os munícipes. Me sinto representada por vc @gilva_rosendo 👏👏👏'];1.163;https://www.instagram.com/p/DBqjiArp2Fl/;Instagram;15;0;Video;28/10/2024;;
⚽️ Ontem (24), os servidores do município participaram de um torneio na Arena Society, envolvendo setores como Centro Administrativo, Saúde, Infraestrutura, Educação, Garagem, Esportes e Câmara Municipal.🏆 Esse momento esportivo reforçou o espírito de união e valorização dos nossos servidores, que celebram seu dia em 28 de outubro.💙 Governo de Pedras de Fogo, a reconstrução continua!;['Que massa. Momentos como esses contribuem para o bem estar e boa convivência entre os amigos.', '👏👏👏👏👏', 'Show......', '👏👏👏👏', '👏👏👏👏👏👏👏', '👏👏', 'Por mais momentos assim!! 👏👏👏👏👏', '👏👏👏👏👏', 'Foi top 👏', '👏👏👏', '👏👏👏👏👏', '👏👏👏', '👏👏', '👏👏👏', 'Que pena que meu amigo @tiago_santos21542  perdeu o pênalti 😂😂'];396;https://www.instagram.com/p/DBjMrUapN3_/;Instagram;15;0;Video;25/10/2024;;
📢 Está transferido o ponto facultativo do dia 28 de outubro para o dia 1° de novembro nas repartições públicas municipais. Os serviços essenciais seguirão ativos para garantir o bem-estar de todos. #PontoFacultativo;['Gostei não 😔 muita gente já tinha se  programado pra fazer algo.', '👏👏👏', 'Bom não, mel', '👏👏👏', '👏👏👏👏', '👏👏👏👏', '👏👏👏'];720;https://www.instagram.com/p/DBjE2IYppHI/;Instagram;7;0;https://instagram.fjpa1-1.fna.fbcdn.net/v/t51.2885-15/463963274_18040603559162405_218177941032066314_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE3NzMuc2RyLmY3NTc2MS5kZWZhdWx0X2ltYWdlIn0&_nc_ht=instagram.fjpa1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=rzmNvVo8AjAQ7kNvgGDZsEn&_nc_gid=aa87a00b86dc447b918dbe7047d5180a&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzQ4NjY1MTg0ODU1NjE4ODEwNA%3D%3D.3-ccb7-5&oh=00_AYDrYgqtYsmsC3Bj0hKPFd9z4Pa0uBOxCrDRFKs3yiqf9w&oe=67367E77&_nc_sid=22de04;25/10/2024;;
🚌 A Secretaria de Educação recebeu dois micro-ônibus para melhor atender os alunos de Pedras de Fogo. Os veículos chegaram para reforçar a frota e proporcionar ainda mais acesso às unidades escolares do município. A aquisição dos transportes foi feita com recursos próprios. 💙 Aqui a Educação não para e a reconstrução continua.;['Eu votei em Manoel Junior e votei agora no prefeito ba.  Mas  me corrijam se eu estiver errado Micro ônibus por 412 mil reais cada axo q custou muito caro', 'Muito bem 👏👏👏👏', '🔥🔥🔥🔥🔥👏', '👏👏👏', 'Parabéns Olimpiades, como sempre um trabalhador pelo município de Pedras de fogo!!', '👏👏👏👏', '👏👏👏', 'Prefeito que trabalhar pelo seu povo 👏👏👏👏', '👏👏👏👏👏', 'Evolução continua 🚀🚀', '👏👏👏👏👏👏', '👏👏👏👏👏👏👏', '👏👏', '👏👏👏😍😍', 'Trabalho!👏👏👏👏'];1.107;https://www.instagram.com/p/DBgdf9spNC3/;Instagram;15;0;Video;24/10/2024;;
