Post;Comentários;Curtidas;Link;Plataforma;QTD_Comentários;QTD_Compartilhamentos;Imagem;Data;Prefeitura;PagFacebook
O nosso incrível Parque Ambiental Macambira Anicuns visto de cima 💚Lá estão as APPs do Córrego Cedro do Mato e Córrego Macambira, remanescentes de Mata Ciliar, Mata de Galeria, Mata Seca, Cerrado stricto sensu e Vereda de Buritis, uma área de 533.000,00m².Você mora aí perto? Conta pra gente nos comentários.#PrefsGyn #Goiania #Parques #parquesdegoiania #Macambira #macambiraanicuns;['😍👏👏👏', '👏👏👏👏👏👏👏'];0.0;https://www.instagram.com/p/DByR1dYuu1F/;Instagram;2;0;https://instagram.fjpa1-1.fna.fbcdn.net/v/t51.29350-15/465073174_915700770477428_3965170391770062773_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDExMTUuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=instagram.fjpa1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=mmhj0HdRjMUQ7kNvgG5w4HB&_nc_gid=0e2eb8d503044457bf9c1b37e51f0d24&edm=AP4sbd4BAAAA&ccb=7-5&ig_cache_key=MzQ5MDkzMTEwMTY0MTkyODAwNQ%3D%3D.3-ccb7-5&oh=00_AYCCASJH8XOD1VQkiKasnfFfGAG1pY2cHWXy39QlAyV6lA&oe=67293F95&_nc_sid=7a9f4b;31/10/2024;;
"Ei, você aí! Ainda não entendeu como o BRT Norte-Sul funciona? Chegue mais! 🚍Com 31 estações e 6 terminais, as novas linhas (NS1, NS2, NS3, NS4 e NS5) conectam a cidade de norte a sul de forma moderna e eficiente, substituindo as antigas linhas 002, 006, 013 e 616.Confira o mapa e veja como o BRT Norte-Sul pode facilitar seu dia a dia!#PraTodoMundo: O carrossel começa com uma imagem do novo ônibus BRT em Goiânia, com o texto ""O BRT Norte-Sul chegou!"". O segundo post apresenta um mapa colorido das linhas NS1 a NS5, destacando as conexões. No terceiro post, os benefícios como ""Conforto"", ""Rapidez"" e ""Integração"" são mostrados com ícones. O quarto post traz fotos de usuários satisfeitos e seus depoimentos positivos. Por fim, o último post convida todos a experimentar o BRT.#BRTNorteSul #Goiânia #TransportePúblico #MobilidadeUrbana #PrefsGyn #BRT";"['não é semelhante ao metrô pq o BRT anda no máximo a 40 km/h', 'Semelhança ao metro ? Viajaram 😂😂', 'Gente  até  hoje não  entendo, porque demorou  esses  anos todos  pra o BRT ficar pronto, não  vir nada demais nessa obra pra demorar  tanto.', 'Já tem ônibus circulando com o ar condicionado desligado', 'Rápido não é. É lentooooo.', 'Quem colocou essa frase ""qualidade e eficiência do metrô "" nunca viu um metrô na vida', 'O importante é que ano que vem GOIANIA volta a programação normal.....', 'A NS5 poderia ser SEMIEXPRESSA. É rápido não tem nada. Não tem ônibus expresso mesma coisa como se fosse ônibus em vias comuns 👎', 'Rápido só se for de outro lugar. Pq esses ônibus de Goiânia estão tão lentos que se descer e ir de pé vai mais rápido 😂😂', '#CPI_BRT_Goiânia_Já', 'Metrô 🚇 kkkkkkkkkkkkkk', 'Precisamos de um que saia do Recanto até o Terminal Izidoria. Assim realmente diminuirá o meu tempo em trânsito. @debora.m.soares;@ludymsoares;@motoristabigode . Quem mais concorda manifesta aí.', '@prefeituradegoiania  cadê iluminação da praça universitária? É uma pouca vergonha descaso com a iluminação , sendo que a gente paga iluminação pública para usufruir dela.', '@prefeituradegoiania onde tá tendo música alta agora à noite? Cadê a fiscalização da @amma.goiania ? Isso lá é hora de som alto!', '@prefeituradegoiania Vocês vão terminar as estações, que parece mais um rancho, o teto se acabamento, cheio de grade parecendo uma prisão. Ônibus lentos, não cabe ninguém.']";684.0;https://www.instagram.com/p/DBwYz-RNWFa/?img_index=1;Instagram;15;0;https://instagram.fjpa1-1.fna.fbcdn.net/v/t39.30808-6/465009893_1007110377886586_9062270385336291916_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNjM4eDIwNDguc2RyLmYzMDgwOC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=instagram.fjpa1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=SWlTQCCbxKMQ7kNvgElIatS&_nc_gid=0e2eb8d503044457bf9c1b37e51f0d24&edm=AP4sbd4AAAAA&ccb=7-5&ig_cache_key=MzQ5MDM5ODgyMjAxNjA5NzEyMA%3D%3D.3-ccb7-5&oh=00_AYCY2sDPOYWQ9hrsc6kIMOQaNsY4igy4BqzhTwoD7mpXcg&oe=6729404B&_nc_sid=7a9f4b;30/10/2024;;
Quem aí também ama uma feira? 🍎🍉🍖🥚🍰Querida por todos os goianienses, as feiras livres de Goiânia são parte da nossa cultura. Um pastelzim com caldo de cana?! Um pedaço de torta?! Verduras e legumes fresquinhos?! Ahhh, bom demais! Ao todo, são 117 feiras em diferentes dias da semana. E pra que todas elas funcionem, a @comurggoiania e o @consorciolimpagyn são essenciais! Os trabalhadores recolhem todo o lixo gerado pelos feirantes e pelos clientes. Mas, óh: PRECISAMOS DA SUA COLABORAÇÃO! São toneladas de lixo jogados no chão. Tudo o que você usou deve ser descartado no local correto. #PrefsGyn #FeirasLivres #feirantes #Goiania #PrefeituradeGoiania #VilaNova #Riviera #VilaUniao;['Alguém pode me informar o contato da escola Jardim Atlântico ?? O do Google não funciona', '😍😍😍', '#feiradedomingodavilanova o.melhor #biscoitofrito', 'Vila uniao 👏👏', '👏👏', '👏👏👏❤️✅', '👏👏👏👏', '👏👏👏👏👏👏', '👏🏾', '.', 'Sério q no Reviera tem Carne de porco caipira?'];313.0;https://www.instagram.com/p/DBv5_-HuxcN/;Instagram;11;0;Video;30/10/2024;;
Terçou e a gente já quer uma jantinha! Quem aí também ama?? 😍🍽️Nessa precisiosidade da culinária do goianiense, geralmente há dois tipos de pessoas: as que pedem medalhão de frango e as que pedem contrafilé. Ou vale os dois?! 🤣Qual seu pedido na jantinha? Conta pra gente nos comentários! 👇#PraTodoMundo: Um post estático com fundo branco e duas imagens, uma de jantinha com medalhão de frango, e a outra de jantinha com contra-filé. Representando dois tipos de pessoa.#Goiania #ComidaGoiana #Jantinha #Meme #PrefsGyn;['O melhor insta da prefs voltou! 😂', 'contra filé, sempreeeeee', 'E geralmente um é o marido e o outro é a esposa kkkk', 'Amo um espetinho dos dois 😂', 'Os dois. Pq comer só um?', 'Time coraçãozinho ❤️', 'Um de cada 😂😂😂', 'O estagiário voltou 👏👏👏', 'Sou do time cupim kkkk', 'medalhão de frango não: franbacon 🤨', 'Contra filé num dia , medalhão  no outro 😂😂', 'Eu sou do time contra 😂', 'Desse jeito!', 'Na dúvida , eu quero os dois. Hahahaha'];1.58;https://www.instagram.com/p/DBuPomAovXo/;Instagram;14;0;https://instagram.fjpa1-1.fna.fbcdn.net/v/t39.30808-6/464976498_1006640161266941_1277866951527985692_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyLmYzMDgwOC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=instagram.fjpa1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=QljbLfzlll8Q7kNvgG79422&_nc_gid=0e2eb8d503044457bf9c1b37e51f0d24&edm=AP4sbd4AAAAA&ccb=7-5&ig_cache_key=MzQ4OTc5NTUyMTU0ODMxODE4NA%3D%3D.3-ccb7-5&oh=00_AYCeB4kd9VYlumZ7iT5ctW5p4H3wVVI9fK2ktsZ8TEHfpg&oe=67294757&_nc_sid=7a9f4b;29/10/2024;;
A fase ruim já passou, o BRT agora é uma realidade do goianiense 😍🚌São 29,6km de percurso, passando por 36 estações, 6 terminais e ainda 121 linhas integradoras. São aproximadamente 1.2 milhão de viagens por mês.Depois de anos de espera, o BRT chegou com tuuuuudo! E veio poderoso pra melhorar a sua qualidade de vida! 💚#PrefsGyn #Goiania #BRT #BRTGoiania #RMTC;['Veio pela metade, nem terminaram o trecho todo.', 'Sucesso o nosso BRT 🚌💚', 'E o BRT na quarta radial e Rio Verde? Mais 9 anos de espera?', 'Meu filho foi roubado dentro do ônibus dessa nova linha BRT....', 'AMEI LOGO EU QUE ATREVESSO A CITY DIRETO❤️❤️❤️😘😘😘', 'Os verdinhos 💚', 'Goiânia agradece 🙌', 'oooooh👏', 'Goiânia merece  coisas melhores,  no lugar dessa coisa ultrapassado tinha que existir metrô 🚇!!!', 'O pagamento sai hoje', '2021: Onibus articulados.  2024: Padrons', '👏👏👏👏', '🔥🔥', 'Uma das piores coisas já feita em Goiânia!', 'Ele faz a propaganda ele @bmx.rec 👏👏😂'];846.0;https://www.instagram.com/p/DBt6wKNpWvI/;Instagram;15;0;Video;29/10/2024;;
Participe do Refis 2024! São condições especiais com descontos de até 99% em multas e juros para dívidas municipais 🤝✅O Programa de Recuperação de Créditos Tributários, Fiscais e Não Tributários acontece em paralelo à participação do município na XIX Semana Nacional de Conciliação (para dívidas nacionais), dispõe de condições especiais para regularização de créditos tributários decorrentes de impostos, como:🏙 Imposto Predial e Territorial Urbano (IPTU/ITU)📃 Imposto de Transmissão de Bens Imóveis (ITBI)🔍 Imposto Sobre Serviços de Qualquer Natureza (ISS)ℹ E outras taxas e contribuições municipais.Todo o atendimento será feito por AGENDAMENTO EM BREVE NO SITE. Anote aí as datas pra você não se perder:📅 Entre 4 a 8 de novembro: Semana Nacional da Conciliação📅 Entre 4 a 29 de novembro: RefisSaiba de todas os detalhes no nosso site:🔗 goiania.go.gov.br (link na bio)#Goiania #PrefsGyn #PrefeituradeGoiania #Refis2024 #SemanadaConciliação;['Ninguém mais tem dívidas, o pai dos pobres já negociou tudo. Ou não?', 'Olá! A coleta seletiva parou de passar na região do Tropical Ville?', 'No caso de parcela de IPTU atrasada e ainda não judicializada poderia disponibilizar esse desconto direto no site como já aconteceu em outros anos.', '👏👏', 'Eu fui negociar e negaram, a secretaria do prefeito.', 'Solicitação de troca de lâmpadas aberta no App24hs desde o dia 17/06 IDSOLICITAÇÃO:1398705 sem nenhuma alteração, obs: trocaram quase todas as lâmpadas da rua de cima, da rua de baixo, da av principal do setor e as lâmpadas da minha rua queimada. Como não obtive resposta, abri uma nova solicitação dia 03/10 IDSOLICITAÇÃO:1482464, novamente sem nenhuma alteração, aguardando trocas urgente, ja houve vários assaltos, pois são dois postes seguidos sem luz, a rua ta um breu. Aguardando resposta, caso não ocorra vou chamar a reportagem, creio q assim serei notada. Obrigado', 'Boa tarde ... o caminhão da coleta seletiva está recolhendo lixo só nas avenidas do meu bairro, Residencial Recanto do Bosque... aqui na minha rua, RB 08 não passa.. meu lixo está acumulado aqui', 'https://grandeveracruz.com/demora-da-entrega-por-parte-do-governo-de-goias-atrasa-a-vida-de-moradores/. Queremos saber é das chaves do condomínio Ipê Amarelo, não aguentamos pagar mais juros de obra', '@luatiossi'];365.0;https://www.instagram.com/p/DBthzuhu2eK/?img_index=1;Instagram;9;0;https://instagram.fjpa1-1.fna.fbcdn.net/v/t51.29350-15/464899482_910375053969230_7214704601748947016_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=instagram.fjpa1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=Q9vMmJC_UOsQ7kNvgHtJhzP&_nc_gid=0e2eb8d503044457bf9c1b37e51f0d24&edm=AP4sbd4BAAAA&ccb=7-5&ig_cache_key=MzQ4OTU5Mzk2OTMxMjYyNTcxNw%3D%3D.3-ccb7-5&oh=00_AYBFTwj6zp_fHpdIeqnKWbclOCGb-BnM4_xXhDy61D6byA&oe=67294C94&_nc_sid=7a9f4b;29/10/2024;;
Apenas uma jovem senhora, envelhecendo como vinho 💅🍷Quem aí ainda é do tempo em que Goiânia era apenas “uma adolescente”?! No último dia 24/10, foram completados 91 anos e ela tem ficado cada dia mais bela e mais verde.‌Foto 1: Arquivo Nacional, década de 1950.Foto 2: Via Goiânia Antiga no Facebook, década de 1970.Foto 3: Via Michel, no Adobe Stock, 2023.#PrefsGyn #PrefeituradeGoiania #Goiania91anos #Goiania;['Que trem mais lindo! Amo minha cidade 😍', 'Eu achei a cidade mais bonita na foto do meio do que atualmente 🤭😂', 'Linda Goiânia, pena que dia sim e o outro tbm o trânsito ao redor da praça cívica está caótico.', 'Tá é idosa, já', 'Infelizmente Goiânia se tornou uma mimi São Paulo, só tem gente de outros lugares', 'Única coisa que perdeu mesmo foi a grande quantidade de árvores, vcs estão acimentando até o céu daqui uns dias', 'Uma cidade boa de se morar pena que o atual representante de o Prefeito atual não tem a mesma índole.  Pois a cidade de Goiânia poderia ser a melhor do país.'];355.0;https://www.instagram.com/p/DBrw3rapADf/?img_index=1;Instagram;7;0;https://instagram.fjpa1-1.fna.fbcdn.net/v/t51.29350-15/464884940_1070608594346530_1533399485110530502_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEzNDYuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=instagram.fjpa1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=ScI1GDEFTfUQ7kNvgHKc9L5&_nc_gid=0e2eb8d503044457bf9c1b37e51f0d24&edm=AP4sbd4BAAAA&ccb=7-5&ig_cache_key=MzQ4OTA2ODU3MzM1MjUyNTM4Ng%3D%3D.3-ccb7-5&oh=00_AYBeCpH0hfwO8-5gYhbRM3jtgY_e3rqvN0aNeQMvPpNgtQ&oe=67294D51&_nc_sid=7a9f4b;28/10/2024;;
"🥳 O aniversário de 91 anos da nossa capital foi celebrado com desfile cívico-militar 🎖🪖Realizada na última quinta-feira (24/10), na Avenida 24 de Outubro, no Setor Campinas, a  apresentação reuniu autoridades municipais e estaduais, integrantes da Marinha, Exército, Polícia Militar, Corpo de Bombeiros, Polícia Federal, Polícia Técnica Científica e Guarda Civil Metropolitana.✨ Mais ações:A série de eventos preparada pela Prefeitura de Goiânia, por meio da @secultgoiania, incluiu ainda:- O início do “Sábado Tem Museu”, no dia 19 de outubro, no Museu Frei Confaloni. A iniciativa apresenta, de forma guiada, a cultura e a história guardada nos museus da cidade;- Já na segunda-feira (21/10), os goianienses puderam conferir o pré-lançamento exclusivo para Goiânia do longa metragem nacional “O voo do Anjo”, filme vencedor no edital de audiovisual em 2023 da Lei Paulo Gustavo da Prefeitura de Goiânia.Leia mais em:🗞 goiania.go.gov.brFotos: Jucimar de Sousa#Goiania91anos #PrefeituradeGoiania #PrefsGyn #DesfileCívicoMiliar";['Boa tarde, onde falo com o setor responsável pelo trânsito!?', 'O desfile foi lindo! Mas pequeno, faltou a participação das escolas, dos carros antigos 😮😢', 'Que momento lindo ❤️'];171.0;https://www.instagram.com/p/DBriL__J-Le/?img_index=1;Instagram;3;0;https://instagram.fjpa1-1.fna.fbcdn.net/v/t51.29350-15/464522346_583763967422030_5976272772067829684_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDk3Ni5zZHIuZjI5MzUwLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=instagram.fjpa1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=0AQKjn6FKo0Q7kNvgGI4T9u&_nc_gid=0e2eb8d503044457bf9c1b37e51f0d24&edm=AP4sbd4BAAAA&ccb=7-5&ig_cache_key=MzQ4OTAzMjY4MzM3MjU5NDU5Nw%3D%3D.3-ccb7-5&oh=00_AYDZLy-_FZFwbos0qzvIdNpV92bGKaUUuPxAUhBIzVBppA&oe=672932C5&_nc_sid=7a9f4b;28/10/2024;;
Hoje é dia de celebrar quem faz Goiânia funcionar! 👏🏽✨Neste 28 de outubro, homenageamos os servidores públicos que dedicam seu tempo e talento para o bem de nossa cidade. Sua contribuição é essencial para o desenvolvimento de Goiânia.Feliz Dia do Servidor Público! 💼❤️#DiaDoServidor #PrefeituraDeGoiânia #TrabalhoQueTransforma #ServidorPúblico #PrefsGyn;['E os nossos salários vão atrasar?', 'Todo ano recebemos o salário no dia do servidor público. O q aconteceu esse ano?', 'Senhora? 😂', 'Terá a corrida do servidor esse ano ?', 'Parabéns a todos profissionais da área 👏🥳👏🥳👏👏🥳🥳', 'Se tivesse liberado o salário hoje, seria melhor ainda! 🤭', '👏👏👏 parabéns pra todos nós, servidores públicos que faz a máquina pública funcionar, e bem!!', 'Acho que esse é o primeiro Dia do Servidor sem a antecipação do pagamento!', 'COMEMORAR o que? Se o prefeito atual tratou os funcionários administrativos da educação com profundo desprezo.', 'Podiam ter liberado o salario também 😢', '👏👏👏👏👏', 'Então hoje é o dia do serviço público feito com qualidade, todo mundo sabe que servidor qualificado precisa de salário. Prefeito onde está o pagamento?', 'Podiam celebrar antecipando nosso pagamento de outubro e garantindo os demais', '👏👏👏', '@prefeituradegoiania  opaaa, você voltou! Bom , nesse dia maravilhoso  dedicava aos servidores públicos a pergunta que fica é: é aí prefs @prefeituradegoiania  vai atrasar o pagamento esse mês ? Ou vai atrasar em novembro ? Ou dezembro ?'];815.0;https://www.instagram.com/p/DBrQqDypEVY/;Instagram;15;0;https://instagram.fjpa1-1.fna.fbcdn.net/v/t51.29350-15/464591535_1265317494666529_708148419106380867_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMzUweDE2ODcuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=instagram.fjpa1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=krkxs_nfEZwQ7kNvgGG-o82&_nc_gid=0e2eb8d503044457bf9c1b37e51f0d24&edm=AP4sbd4BAAAA&ccb=7-5&ig_cache_key=MzQ4ODk1NTU5NTM2MTYzMzYyNA%3D%3D.3-ccb7-5&oh=00_AYAnu_p7iuie22KfjnHmXS5NiNvjIMaNHLDdKIteTAI9rw&oe=672954D2&_nc_sid=7a9f4b;28/10/2024;;
Chama no piseiro e vamos começar a semana daquele jeito porque A PREFS TÁ DE VOLTA POR AQUI 🔥-#PraTodoMundo o vídeo mostra três trabalhadoras da Comurg, companhia de limpeza urbana de Goiânia, dançando em uma praça. Elas vestem um uniforme laranja.‌#PrefeituradeGoiania #piseiro #ComurgGoiania #Goiania #PrefsGyn #Piseiro #Comurg;['É muita animação 😍 chama 🔥', 'Quem vê assim nem imagina que o servidores da comurg trabalham só a revolta pq são os últimos a receber 🤡😂😂', 'O Cata Treco ta funcionando?', 'Estou esperando a coleta seletiva, estou com alguns sacos sem coragem de colocar no lixo normal.', '👏👏👏…até o estagiário tá feliz🤣', 'Como saber qual horário a coleta seletiva passa no meu bairro? Nunca consegui identificar o dia e horário!', 'Podia ter marcado o perfil delas no post', 'A alegria delas é contagiante 😂', 'Maravilhosas 😍', 'Eita mulheres animadas, parabéns 👏', 'Aqui é  potência 🔥🔥', '👏', 'Só as melhores🔥🔥🔥🔥', 'Parabéns, vocês  sao incríveis,  só ALEGRIA. 👏👏👏👏👏❤️😂', '@janamagalhaes92 parece até parente nossa kkkkkk alegria demais'];1.578;https://www.instagram.com/p/DBrAa3Euxuk/;Instagram;15;0;Video;28/10/2024;;
